717967,已办理额外行李托运,航空意外险/航空责任保险,未订购旅行餐饮
683437,未办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
275774,未办理额外行李托运,航班延误险,未订购旅行餐饮
788837,未办理额外行李托运,航班延误险,已订购旅行餐饮
119919,已办理额外行李托运,航班延误险,未订购旅行餐饮
296369,已办理额外行李托运,航空意外险/航班延误险,未订购旅行餐饮
754990,未办理额外行李托运,航班延误险,已订购旅行餐饮
474759,已办理额外行李托运,航空责任保险,未订购旅行餐饮
448174,未办理额外行李托运,航空责任保险/航班延误险,已订购旅行餐饮
877048,已办理额外行李托运,航空责任保险/航班延误险,未订购旅行餐饮
879222,已办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
448856,已办理额外行李托运,航空意外险/航空责任保险,已订购旅行餐饮
226525,未办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
368345,未办理额外行李托运,航空意外险/航班延误险/航班延误险,已订购旅行餐饮
399133,未办理额外行李托运,航空意外险/航班延误险/航班延误险,已订购旅行餐饮
220738,未办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
984704,未办理额外行李托运,航空意外险/航班延误险/航班延误险,已订购旅行餐饮
275706,未办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
827719,未办理额外行李托运,航空责任保险/航班延误险,已订购旅行餐饮
616054,已办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
361263,已办理额外行李托运,航班延误险,已订购旅行餐饮
534346,未办理额外行李托运,航空意外险/航空责任保险,已订购旅行餐饮
991490,未办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
620383,已办理额外行李托运,航空意外险/航班延误险,未订购旅行餐饮
172619,未办理额外行李托运,航空意外险/航空责任保险,已订购旅行餐饮
840998,已办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
968262,未办理额外行李托运,航空意外险,未订购旅行餐饮
625450,已办理额外行李托运,航班延误险,未订购旅行餐饮
438748,已办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
856555,已办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
907476,未办理额外行李托运,航空意外险/航班延误险,未订购旅行餐饮
540379,未办理额外行李托运,未选择任何保险业务,已订购旅行餐饮
696811,未办理额外行李托运,航空意外险/航空责任保险,已订购旅行餐饮
441575,未办理额外行李托运,航空责任保险/航班延误险,未订购旅行餐饮
909286,已办理额外行李托运,航空意外险/航空责任保险,未订购旅行餐饮
869869,未办理额外行李托运,航班延误险,已订购旅行餐饮
434175,未办理额外行李托运,航空责任保险,已订购旅行餐饮
269652,未办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
852757,已办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
766357,未办理额外行李托运,航空意外险/航空责任保险,已订购旅行餐饮
604895,已办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
652276,未办理额外行李托运,航空责任保险/航班延误险,已订购旅行餐饮
970034,未办理额外行李托运,航班延误险,已订购旅行餐饮
111114,未办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
547979,未办理额外行李托运,航空意外险/航空责任保险,未订购旅行餐饮
449632,已办理额外行李托运,航空责任保险,已订购旅行餐饮
949545,已办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
550602,未办理额外行李托运,航空责任保险/航班延误险,未订购旅行餐饮
641279,未办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
441407,已办理额外行李托运,航班延误险,已订购旅行餐饮
232138,已办理额外行李托运,未选择任何保险业务,已订购旅行餐饮
200965,未办理额外行李托运,未选择任何保险业务,已订购旅行餐饮
404246,已办理额外行李托运,航班延误险,未订购旅行餐饮
193729,已办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
264863,未办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
680875,已办理额外行李托运,航空意外险/航班延误险,未订购旅行餐饮
226627,未办理额外行李托运,航空意外险/航班延误险/航班延误险,已订购旅行餐饮
523560,已办理额外行李托运,航空意外险/航空责任保险,未订购旅行餐饮
903300,已办理额外行李托运,航空责任保险/航班延误险,未订购旅行餐饮
804962,未办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
741128,未办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
633178,已办理额外行李托运,航空责任保险,已订购旅行餐饮
732490,已办理额外行李托运,航空意外险/航班延误险,未订购旅行餐饮
513285,未办理额外行李托运,航空意外险,未订购旅行餐饮
179195,已办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
648114,已办理额外行李托运,航空意外险/航班延误险,已订购旅行餐饮
983356,已办理额外行李托运,航空意外险/航空责任保险,未订购旅行餐饮
287338,已办理额外行李托运,航空责任保险/航班延误险,已订购旅行餐饮
359445,未办理额外行李托运,未选择任何保险业务,已订购旅行餐饮
490755,未办理额外行李托运,航空责任保险/航班延误险,未订购旅行餐饮
100868,未办理额外行李托运,航空责任保险/航班延误险,已订购旅行餐饮
